AcountNumber,CVV,CustomerAge,Gender,Marital Status,CardColour,CardType,Domain,Amount,AverageIncomeExpendicture,Outcome,Customer_City_Address
1266613073,505,24,Female,Single,Gold,Verve,International,177040,181736,0,Port Harcourt
1239698672,489,20,Male,Married,Gold,Verve,International,394544,197450,1,Kano
1266152448,631,28,Female,Married,Gold,Verve,International,335429,192524,1,Abuja
1277977660,558,21,Male,Divorced,Gold,Verve,International,349749,242342,0,Other
1267205136,335,29,Male,Married,White,Visa,International,449418,184409,0,Other
1268514919,667,27,Female,Married,Gold,Verve,International,917003,263551,1,Other
1273701859,551,22,Male,Divorced,White,Visa,Local,138740,139201,0,Lagos
1259115528,369,19,Male,Married,Gold,Verve,International,626553,284876,1,Ota
1274653367,431,25,Female,Single,White,Visa,International,937414,289370,1,Ibadan
1253822701,438,23,Male,Single,White,Visa,Local,763863,144674,1,Kano
1240465388,556,27,Female,Unknown,White,MasterCard,International,307558,249076,1,Other
1257258816,440,24,Male,Single,White,MasterCard,International,193652,376843,0,Other
1263453456,493,20,Male,Married,White,MasterCard,Local,260037,146890,0,Ota
1287141912,286,20,Female,Married,White,Visa,Local,847565,349475,1,Abuja
1241558402,398,20,Male,Single,White,Visa,International,714175,121260,1,Ota
1261140355,507,28,Male,Married,Gold,Verve,International,988441,150147,1,Kano
1244375520,607,23,Female,Married,Gold,Verve,International,158407,222321,0,Ota
1252200973,578,30,Male,Single,Gold,Verve,International,755939,194433,1,Ibadan
1267711713,615,20,Female,Single,Gold,Verve,International,905416,204610,1,Abuja
1284790801,483,30,Male,Single,White,Visa,International,182051,395126,1,Enugu
1256342219,225,26,Male,Single,White,MasterCard,Local,708416,177556,1,Other
1256131341,474,27,Female,Married,White,Visa,International,750942,171313,1,Kano
1263769170,568,22,Male,Single,Gold,Verve,International,148146,105479,0,Other
1258901299,628,27,Male,Unknown,White,MasterCard,Local,517778,138672,0,Ibadan
1273682728,367,25,Female,Married,White,Visa,International,759530,322837,1,Ibadan
1281204358,266,19,Male,Married,Gold,Verve,International,401680,227691,1,Ota
1268677190,507,28,Female,Married,Gold,Verve,Local,189490,106763,0,Ota
1253147623,223,22,Male,Married,Gold,Verve,Local,301698,293790,0,Port Harcourt
1262564641,495,21,Male,Single,Gold,Verve,International,764630,273053,1,Lagos
1279388289,336,18,Female,Single,Gold,Verve,International,870040,230302,1,Kano
1276599412,426,27,Male,Divorced,White,Visa,International,107172,256360,0,Ibadan
1261890225,259,21,Male,Divorced,White,Visa,International,552747,118728,1,Other
1280517390,504,20,Female,Married,Gold,Verve,International,117844,194841,0,Ota
1254627392,335,26,Male,Single,Gold,Verve,International,185482,106126,0,Ota
1268260671,478,25,Female,Married,White,Visa,Local,847135,250916,1,Other
1250157643,568,28,Male,Single,White,Visa,International,255419,186546,1,Lagos
1271284741,233,24,Male,Married,Gold,Verve,International,892452,129347,1,Other
1287938106,371,28,Female,Single,White,MasterCard,Local,347501,162598,0,Ota
1262620597,371,22,Male,Single,Gold,Verve,International,254814,187874,1,Port Harcourt
1286322863,377,28,Male,Married,Gold,Verve,International,497030,268063,1,Kano
1289252609,304,27,Female,Single,Gold,Verve,Local,789114,235349,1,Other
1256523157,289,19,Male,Married,White,Visa,Local,116242,156440,0,Other
1260341569,246,29,Female,Married,White,MasterCard,International,261968,279538,1,Other
1271972759,572,20,Male,Married,White,MasterCard,International,318088,258041,0,Ota
1287246532,348,24,Male,Single,White,MasterCard,International,190170,234355,0,Port Harcourt
1248706949,664,19,Female,Married,Gold,Verve,International,636630,163149,1,Other
1269076874,630,21,Male,Single,Gold,Verve,International,245827,130744,1,Abuja
1268649831,211,22,Male,Single,Gold,Verve,International,272045,240567,0,Enugu
1249141485,388,22,Female,Married,Gold,Verve,Local,136765,130395,0,Abuja
1277192046,338,20,Male,Married,Gold,Verve,International,599581,158984,1,Ota
1286005591,629,29,Female,Single,White,Visa,International,602044,136201,1,Ibadan
1284340295,508,20,Male,Married,Gold,Verve,Local,349946,315815,1,Lagos
1248074241,359,27,Male,Married,White,Visa,International,268759,130917,0,Kano
1278564185,641,27,Female,Divorced,Gold,Verve,International,330523,108245,0,Kano
1272639265,437,21,Male,Married,White,Visa,Local,579403,140493,1,Lagos
1254278696,442,23,Male,Single,White,Visa,Local,935509,121956,1,Kano
1289409070,487,22,Female,Married,White,MasterCard,International,321545,370563,1,Lagos
1245869524,456,24,Male,Divorced,White,MasterCard,International,355872,328932,1,Other
1245578514,659,25,Female,Married,White,MasterCard,International,275364,321216,1,Enugu
1241450805,234,23,Male,Married,White,Visa,International,430445,263937,1,Lagos
1271021673,234,30,Male,Married,White,Visa,International,201380,201468,1,Ibadan
1250871191,424,26,Female,Married,Gold,Verve,International,298143,253872,0,Other
1242519803,413,19,Male,Single,Gold,Verve,Local,200058,338806,1,Lagos
1287241958,221,26,Male,Married,Gold,Verve,International,686369,153322,1,Kano
1284695029,421,18,Female,Divorced,Gold,Verve,International,643489,160910,1,Ota
1276836189,460,25,Male,Married,White,Visa,Local,130224,126482,0,Port Harcourt
1268775285,674,29,Female,Married,White,MasterCard,International,720750,341286,1,Ota
1251752796,508,24,Male,Married,White,Visa,International,808342,154995,1,Kano
1279918851,595,22,Male,Married,Gold,Verve,Local,286057,376099,1,Lagos
1275306576,620,21,Female,Divorced,White,MasterCard,Local,745790,161073,1,Enugu
1245203533,260,25,Male,Married,White,Visa,International,510814,186688,1,Enugu
1249314820,433,20,Male,Married,Gold,Verve,International,787099,319860,1,Port Harcourt
1260412117,423,25,Female,Single,Gold,Verve,International,939590,147071,1,Port Harcourt
1245097843,389,30,Male,Married,Gold,Verve,International,618342,191358,1,Abuja
1251276262,469,25,Female,Married,Gold,Verve,International,998329,352397,1,Abuja
1271389223,338,22,Male,Married,Gold,Verve,International,113802,261008,0,Lagos
1258518422,306,26,Male,Married,White,Visa,Local,360015,109312,0,Lagos
1254557581,478,18,Female,Married,White,Visa,International,562304,351471,1,Lagos
1258469960,347,20,Male,Married,Gold,Verve,International,142440,113812,0,Other
1245988806,418,30,Male,Single,Gold,Verve,Local,539107,208370,1,Abuja
1242006274,448,24,Female,Single,White,Visa,International,646042,114076,1,Lagos
1278615351,370,20,Male,Single,White,Visa,International,845506,229844,1,Other
1241101942,336,26,Female,Married,Gold,Verve,Local,463791,285767,0,Kano
1263430722,384,26,Male,Married,White,MasterCard,Local,492721,104255,1,Enugu
1277459862,318,21,Male,Married,Gold,Verve,International,169902,235468,0,Other
1268721446,549,26,Female,Unknown,Gold,Verve,International,586574,113055,1,Abuja
1258457039,608,24,Male,Married,Gold,Verve,International,696420,195618,1,Lagos
1255689317,638,19,Male,Married,White,Visa,International,932380,170770,1,Other
1263274324,398,30,Female,Married,White,MasterCard,International,337743,227570,1,Lagos
1288358184,289,22,Male,Married,White,MasterCard,International,478337,167722,0,Ota
1250229707,669,24,Female,Unknown,White,MasterCard,Local,704612,150656,1,Lagos
1277136346,358,18,Male,Married,Gold,Verve,International,702004,213116,1,Ibadan
1245373712,282,29,Male,Married,Gold,Verve,International,778281,264939,1,Ibadan
1243288680,391,30,Female,Married,Gold,Verve,Local,399558,128414,0,Enugu
1259155812,214,28,Male,Married,Gold,Verve,International,650066,213152,1,Enugu
1260926324,602,26,Male,Married,Gold,Verve,International,225416,317319,1,Lagos
1283842357,291,20,Female,Married,White,Visa,Local,117595,112707,0,Other
1253901711,643,29,Male,Married,Gold,Verve,Local,476439,398083,1,Ota
1265562287,265,24,Female,Married,White,Visa,International,947031,153615,1,Abuja
1280085917,461,20,Male,Divorced,Gold,Verve,International,142785,200613,0,Port Harcourt
1268510300,517,29,Male,Married,White,Visa,International,548576,256414,1,Lagos
1277037979,489,22,Female,Married,White,Visa,International,805406,287188,1,Kano
1262913148,363,26,Male,Married,White,MasterCard,International,611886,126561,1,Abuja
1277434935,565,19,Male,Married,White,MasterCard,International,567405,193191,0,Ota
1288079416,232,30,Female,Married,White,MasterCard,Local,992989,350019,1,Ibadan
1241155701,247,22,Male,Unknown,White,Visa,International,977634,388287,1,Ota
1280730995,450,21,Female,Married,White,Visa,International,749223,172212,1,Other
1277617850,224,26,Male,Single,Gold,Verve,Local,423577,330010,1,Other
1248015842,261,20,Male,Married,Gold,Verve,International,246872,179908,1,Port Harcourt
1254663170,336,28,Female,Single,Gold,Verve,International,985197,212461,1,Lagos
1268385026,298,28,Male,Single,Gold,Verve,Local,831356,150729,1,Kano
1247231795,455,21,Male,Married,White,Visa,Local,422671,206083,1,Abuja
1287463703,353,29,Female,Married,White,MasterCard,International,771397,333624,1,Lagos
1278521629,592,24,Male,Divorced,White,Visa,International,182652,171115,0,Lagos
1256709949,671,23,Female,Single,Gold,Verve,International,680913,197242,1,Ota
1252372900,530,22,Male,Married,White,MasterCard,International,544091,252145,1,Ibadan
1263419126,514,26,Male,Single,White,Visa,International,186316,240547,0,Ota
1251999010,557,24,Female,Divorced,Gold,Verve,International,340993,338947,1,Abuja
1271467392,535,28,Male,Divorced,Gold,Verve,Local,217976,156592,1,Kano
1279560515,504,22,Male,Single,Gold,Verve,International,479737,297135,1,Lagos
1264153754,566,30,Female,Single,Gold,Verve,International,501893,193059,1,Ota
1246830376,217,29,Male,Divorced,Gold,Verve,Local,268426,187963,0,Kano
1262897348,266,28,Female,Married,White,Visa,International,656541,160825,1,Abuja
1261806932,387,25,Male,Married,White,Visa,International,415200,320811,1,Abuja
1247792111,266,27,Male,Married,Gold,Verve,Local,824332,107986,1,Abuja
1287674692,500,19,Female,Married,Gold,Verve,Local,786961,179646,1,Kano
1280977536,474,19,Male,Single,White,Visa,International,873539,123192,1,Lagos
1264122038,343,20,Male,Divorced,White,Visa,International,465323,222060,1,Abuja
1268701210,276,22,Female,Single,Gold,Verve,International,462714,265134,0,Abuja
1271798151,675,25,Male,Married,White,MasterCard,International,450500,123999,0,Abuja
1272348155,676,24,Female,Married,Gold,Verve,International,437227,144443,0,Abuja
1259385500,265,29,Male,Unknown,Gold,Verve,International,656618,115381,1,Abuja
1273728765,441,22,Male,Married,Gold,Verve,Local,516633,127653,1,Ota
1249244479,585,28,Female,Single,White,Visa,International,873481,371383,1,Lagos
1273268031,496,25,Male,Married,White,MasterCard,International,195036,140034,0,Ota
1266727658,394,25,Male,Single,White,MasterCard,Local,617557,296253,1,Port Harcourt
1251454449,398,24,Female,Married,White,MasterCard,International,897032,145655,1,Kano
1250574657,498,19,Male,Married,Gold,Verve,International,487074,145160,1,Kano
1268965255,243,22,Female,Married,Gold,Verve,Local,145038,205886,0,Kano
1285828717,581,27,Male,Single,Gold,Verve,Local,889300,257048,1,Ota
1285451224,510,23,Male,Single,Gold,Verve,International,593603,185137,1,Other
1282673360,461,20,Female,Married,Gold,Verve,International,663862,246158,1,Port Harcourt
1249289185,521,22,Male,Married,White,Visa,International,619720,211454,1,Kano
1289671449,586,27,Male,Single,Gold,Verve,International,654457,236366,1,Kano
1244311170,520,22,Female,Single,White,Visa,International,371832,364290,1,Other
1272493035,657,25,Male,Married,Gold,Verve,International,248382,126311,0,Kano
1270676570,359,20,Female,Unknown,White,Visa,Local,443856,225741,1,Ibadan
1245042107,334,21,Male,Single,White,Visa,International,657481,240667,1,Other
1272310345,341,22,Male,Married,White,MasterCard,International,142143,224928,0,Enugu
1252099755,212,22,Female,Married,White,MasterCard,Local,243011,301362,1,Ibadan
1272260855,409,18,Male,Single,White,MasterCard,International,881879,289562,1,Other
1252484373,272,29,Male,Single,White,Visa,International,579266,264580,1,Abuja
1245130892,289,29,Female,Single,White,Visa,Local,126520,134775,0,Abuja
1270767707,480,26,Male,Married,Gold,Verve,Local,725890,150813,1,Ibadan
1260114247,540,20,Female,Unknown,Gold,Verve,International,798246,197969,1,Ibadan
1274956434,251,23,Male,Married,Gold,Verve,International,441527,332033,1,Abuja
1266651248,662,22,Male,Married,Gold,Verve,International,253435,200255,1,Enugu
1257958198,366,29,Female,Married,White,Visa,International,756671,377683,1,Lagos
1273507046,320,26,Male,Married,White,MasterCard,International,292047,101744,1,Kano
1252529547,354,21,Male,Married,White,Visa,International,529388,231468,1,Ibadan
1262211473,444,24,Female,Unknown,Gold,Verve,Local,693987,241133,1,Other
1251722244,262,22,Male,Divorced,White,MasterCard,International,416814,316762,1,Kano
1270507812,614,21,Female,Married,White,Visa,International,228014,299285,0,Enugu
1276563819,368,19,Male,Married,Gold,Verve,Local,291841,235057,0,Other
1269267497,671,22,Male,Single,Gold,Verve,International,546668,264299,1,Lagos
1261844073,650,20,Female,Divorced,Gold,Verve,International,964415,236072,1,Ibadan
1265977760,658,23,Male,Married,Gold,Verve,Local,596969,391946,1,Ota
1260376831,490,18,Male,Single,Gold,Verve,Local,354648,244880,1,Ibadan
1241149196,322,24,Female,Single,White,Visa,International,312455,286328,1,Abuja
1255333387,226,22,Male,Married,White,Visa,International,545783,288037,1,Other
1286097573,354,27,Female,Single,Gold,Verve,International,722720,199542,1,Ibadan
1239504075,328,22,Male,Married,Gold,Verve,International,239176,194768,1,Ota
1261612886,407,27,Male,Divorced,White,Visa,International,392022,122025,1,Lagos
1288923410,557,27,Female,Married,White,Visa,International,515624,270996,1,Abuja
1251166568,600,25,Male,Single,Gold,Verve,Local,558441,266509,1,Lagos
1257677929,316,21,Male,Unknown,White,MasterCard,International,127489,331661,0,Ibadan
1261480163,353,21,Female,Married,Gold,Verve,International,940793,383673,1,Enugu
1286550743,355,24,Male,Married,Gold,Verve,Local,275139,246673,0,Other
1252808924,617,29,Female,Married,Gold,Verve,International,759417,297444,1,Ibadan
1249352780,507,18,Male,Married,White,Visa,International,979405,197608,1,Abuja
1284576369,493,19,Male,Married,White,MasterCard,Local,419860,151178,0,Port Harcourt
1275856762,419,28,Female,Single,White,MasterCard,Local,794324,268257,1,Other
1248935339,330,19,Male,Married,White,MasterCard,International,901194,250914,1,Ota
1275473216,433,25,Male,Married,Gold,Verve,International,558767,150570,1,Other
1255062220,356,20,Female,Single,Gold,Verve,International,492033,161932,0,Port Harcourt
1261473334,244,27,Male,Single,Gold,Verve,International,280355,330513,1,Port Harcourt
1263614840,665,23,Female,Married,Gold,Verve,International,383697,115562,1,Enugu
1240025111,342,25,Male,Unknown,Gold,Verve,International,541435,100514,1,Port Harcourt
1277236362,243,26,Male,Single,White,Visa,Local,518168,148220,1,Ibadan
1268742139,612,24,Female,Married,Gold,Verve,International,604574,170580,1,Kano
1243340725,344,28,Male,Married,White,Visa,International,498829,239101,0,Kano
1245380599,598,18,Male,Married,Gold,Verve,Local,873509,144259,1,Ota
1254680209,277,25,Female,Unknown,White,Visa,International,544445,118917,1,Other
1259300475,442,26,Male,Single,White,Visa,International,192316,388165,1,Kano
1268826498,343,23,Female,Single,White,MasterCard,Local,474655,236910,0,Other
1267299374,376,18,Male,Married,White,MasterCard,Local,420565,320468,1,Ibadan
1285793399,554,27,Male,Divorced,White,MasterCard,International,360247,256277,0,Lagos
1261349717,213,28,Female,Married,White,Visa,International,608055,302877,1,Port Harcourt
1286399989,305,26,Male,Married,White,Visa,International,138047,272870,0,Other
1281032512,605,26,Male,Married,Gold,Verve,International,224753,169979,0,Port Harcourt
1253446125,230,28,Female,Married,Gold,Verve,International,665877,161531,1,Lagos
1273028616,613,19,Male,Single,Gold,Verve,International,684368,261059,1,Ibadan
1270415616,506,18,Female,Single,Gold,Verve,Local,366485,307384,1,Enugu
1252777628,659,22,Male,Married,White,Visa,International,681906,202966,1,Enugu
1248244065,499,30,Male,Married,White,MasterCard,International,830006,398742,1,Enugu
1275939128,406,30,Female,Married,White,Visa,Local,543891,147181,1,Other
1261168554,503,28,Male,Single,Gold,Verve,International,756418,265008,1,Lagos
1267557463,397,23,Male,Married,White,MasterCard,International,410648,396767,1,Ibadan
1287203908,493,20,Female,Married,White,Visa,Local,334953,125714,0,Enugu
1256394328,438,30,Male,Single,Gold,Verve,Local,573460,104608,1,Enugu
1252178715,522,29,Female,Married,Gold,Verve,International,192565,320418,0,Other
1247453851,287,22,Male,Married,Gold,Verve,International,219980,246588,0,Ibadan
1252934453,566,29,Male,Married,Gold,Verve,International,901098,193199,1,Other
1273371269,666,24,Female,Married,Gold,Verve,International,587181,377605,1,Kano
1255488955,275,21,Male,Married,White,Visa,International,553341,197082,1,Lagos
1277187418,602,22,Male,Single,White,Visa,International,606758,391578,1,Ota
1276124008,564,27,Female,Divorced,Gold,Verve,Local,146583,274766,0,Lagos
1270263481,560,23,Male,Single,Gold,Verve,International,507165,186569,1,Enugu
1245613705,254,28,Female,Married,White,Visa,International,500957,173072,1,Kano
1280518911,508,27,Male,Married,White,Visa,Local,956590,278067,1,Other
1244669501,515,20,Male,Married,Gold,Verve,International,145036,128823,0,Port Harcourt
1240663526,474,25,Female,Married,White,MasterCard,International,543580,312290,1,Abuja
1286276327,495,30,Male,Unknown,Gold,Verve,Local,927264,285457,1,Other
1278419581,505,21,Male,Married,Gold,Verve,Local,439700,153471,0,Ota
1268010229,595,29,Female,Single,Gold,Verve,International,177970,243913,0,Port Harcourt
1280968119,615,19,Male,Single,White,Visa,International,944305,196802,1,Kano
1279359071,230,27,Female,Single,White,MasterCard,International,956052,246792,1,Enugu
1261871146,518,28,Male,Single,White,MasterCard,International,628920,167406,1,Ota
1278138255,244,19,Male,Divorced,White,MasterCard,International,205177,112251,0,Ibadan
1245853630,343,29,Female,Married,Gold,Verve,International,775906,172687,1,Kano
1269247597,545,21,Male,Married,Gold,Verve,Local,841949,236718,1,Ota
1261673939,323,28,Male,Married,Gold,Verve,International,103311,229224,0,Other
1247173143,438,23,Female,Married,Gold,Verve,International,514418,160911,1,Abuja
1255873539,316,18,Male,Married,Gold,Verve,Local,933365,132522,1,Enugu
1256464931,308,24,Female,Single,White,Visa,International,120513,103820,0,Enugu
1282054772,390,28,Male,Married,Gold,Verve,International,725137,189526,1,Enugu
1269432930,606,23,Male,Single,White,Visa,Local,737800,132711,1,Ibadan
1255909510,510,18,Female,Married,Gold,Verve,Local,261584,211247,0,Ota
1245622569,525,21,Male,Married,White,Visa,International,793767,141583,1,Lagos
1266677198,426,27,Male,Married,White,Visa,International,241831,177918,0,Kano
1245941275,616,29,Female,Married,White,MasterCard,International,128335,140176,0,Ota
1285656789,271,28,Male,Single,White,MasterCard,International,535785,288105,0,Ota
1263326787,427,25,Female,Married,White,MasterCard,International,376734,282124,1,Kano
1272762597,505,24,Male,Married,White,Visa,International,626537,109721,1,Other
1260145790,450,28,Male,Married,White,Visa,Local,830099,161279,1,Lagos
1281906140,425,27,Female,Divorced,Gold,Verve,International,488014,129300,0,Ota
1253413048,340,28,Male,Married,Gold,Verve,International,770918,335065,1,Ibadan
1254878261,328,30,Male,Single,Gold,Verve,Local,397735,283861,1,Other
1267410170,272,21,Female,Single,Gold,Verve,International,125242,187140,0,Ibadan
1268311040,397,22,Male,Single,White,Visa,International,153669,197878,0,Lagos
1280207809,435,21,Female,Married,White,MasterCard,Local,106922,237878,0,Enugu
1259055071,416,22,Male,Single,White,Visa,Local,835134,157815,1,Kano
1242974551,523,25,Male,Married,Gold,Verve,International,968089,377768,1,Ota
1249991006,640,28,Female,Married,White,MasterCard,International,549629,116553,1,Kano
1288686208,565,23,Male,Married,White,Visa,International,259248,317246,1,Ibadan
1246127514,499,19,Male,Single,Gold,Verve,International,652564,168851,1,Port Harcourt
1290025696,531,20,Female,Single,Gold,Verve,International,862075,133991,1,Kano
1246068440,374,25,Male,Married,Gold,Verve,International,983465,114807,1,Enugu
1266467666,299,25,Female,Married,Gold,Verve,Local,681461,370299,1,Lagos
1264682094,385,23,Male,Married,Gold,Verve,International,773013,337133,1,Kano
